,Adj Close,Close,High,Low,Open,Volume,coredata(x)
2004-01-28,6848.0,6960.0,7080.0,6910.0,6910.0,1400.0,
2004-01-29,6947.0,7060.0,7060.0,7060.0,7060.0,1.0,
2004-01-30,6888.0,7000.0,7150.0,6720.0,7150.0,200.0,
2004-02-02,6661.0,6770.0,7040.0,6700.0,6700.0,1000.0,
2004-02-03,6838.0,6950.0,7040.0,6700.0,6710.0,100.0,
2004-02-04,6838.0,6950.0,6950.0,6730.0,6740.0,100.0,
2004-02-05,6838.0,6950.0,7000.0,6810.0,7000.0,800.0,
2004-02-06,6789.0,6900.0,7160.0,6810.0,7160.0,100.0,
2004-02-09,6769.0,6880.0,6990.0,6750.0,6970.0,600.0,
2004-02-10,6858.0,6970.0,6970.0,6810.0,6810.0,9.0,
2004-02-11,6740.0,6850.0,6950.0,6810.0,6900.0,1100.0,
2004-02-12,6455.0,6560.0,6920.0,6500.0,6660.0,1400.0,
2004-02-13,6553.0,6660.0,6750.0,6460.0,6500.0,1900.0,
2004-02-16,6474.0,6580.0,6700.0,6500.0,6690.0,500.0,
2004-02-17,6494.0,6600.0,6890.0,6530.0,6570.0,1300.0,
2004-02-18,6523.0,6630.0,6630.0,6330.0,6550.0,700.0,
2004-02-19,6553.0,6660.0,6750.0,6490.0,6700.0,4900.0,
2004-02-20,6494.0,6600.0,6940.0,6480.0,6560.0,1900.0,
2004-02-23,6396.0,6500.0,6600.0,6370.0,6450.0,2500.0,
2004-02-24,6336.0,6440.0,6500.0,6300.0,6500.0,2800.0,
2004-02-25,6100.0,6200.0,6400.0,6200.0,6350.0,2000.0,
2004-02-26,6100.0,6200.0,6500.0,6200.0,6200.0,7100.0,
2004-02-27,6277.0,6380.0,6500.0,6200.0,6230.0,900.0,
2004-03-02,6199.0,6300.0,6300.0,6250.0,6250.0,2000.0,
2004-03-03,6258.0,6360.0,6360.0,6210.0,6300.0,3500.0,
2004-03-04,6396.0,6500.0,6590.0,6250.0,6250.0,8000.0,
2004-03-05,6327.0,6430.0,6680.0,6320.0,6400.0,3800.0,
2004-03-08,6504.0,6610.0,6650.0,6310.0,6650.0,1000.0,
2004-03-09,6238.0,6340.0,6510.0,6320.0,6510.0,1700.0,
2004-03-10,6405.0,6510.0,6800.0,6350.0,6350.0,5600.0,
2004-03-11,6543.0,6650.0,6800.0,6510.0,6510.0,4800.0,
2004-03-12,6573.0,6680.0,6730.0,6400.0,6730.0,10700.0,
2004-03-15,6868.0,6980.0,6980.0,6700.0,6790.0,4500.0,
2004-03-16,6701.0,6810.0,7000.0,6800.0,6900.0,800.0,
2004-03-17,6848.0,6960.0,7020.0,6650.0,6650.0,4700.0,
2004-03-18,6888.0,7000.0,7000.0,6700.0,6960.0,1800.0,
2004-03-19,6888.0,7000.0,7070.0,6750.0,6790.0,2500.0,
2004-03-22,6642.0,6750.0,7000.0,6690.0,6990.0,1000.0,
2004-03-23,6838.0,6950.0,7000.0,6800.0,6900.0,3600.0,
2004-03-24,6779.0,6890.0,7000.0,6800.0,6850.0,3100.0,
2004-03-25,6838.0,6950.0,7000.0,6550.0,6900.0,1200.0,
2004-03-26,6789.0,6900.0,7000.0,6800.0,6800.0,6200.0,
2004-03-29,6612.0,6720.0,7100.0,6720.0,6950.0,1700.0,
2004-03-30,6789.0,6900.0,7060.0,6800.0,6870.0,100.0,
2004-03-31,6878.0,6990.0,7090.0,6810.0,7090.0,1000.0,
2004-04-01,6740.0,6850.0,6900.0,6850.0,6900.0,94.0,
2004-04-02,7183.0,7300.0,7670.0,6950.0,6950.0,3900.0,
2004-04-06,7035.0,7150.0,7500.0,7050.0,7450.0,5800.0,
2004-04-07,6986.0,7100.0,7250.0,7100.0,7250.0,2900.0,
2004-04-08,6986.0,7100.0,7150.0,7090.0,7100.0,1300.0,
2004-04-09,6986.0,7100.0,7170.0,7000.0,7070.0,4500.0,
